oracion;intencion;subIntencion
cuanto dura la carrera de publidad?;plan;todas
cuanto sale la carrera de publicidad?;pagos;precio
que costo tiene la carrera de publicidad?;pagos;precio
tienen alguna carrera relacionada a la publicidad?;generalidades;todas
tienen algo de marketing o publicidad?;generalidades;todas
tienen alguna carrera orientada a negocios?;generalidades;todas
alguna carrera que se oriente a las relaciones comerciales y visual?;generalidades;todas
alguna cerrara orientada a la mercadotecnia?;generalidades;todas
quiero saber si tienen alguna carrera que se oriente a los medios de comunicación?;generalidades;todas
que carrera se puede estudiar que se relacione a la produccion audiovisual?;generalidades;todas
tienen la carrera de comunicación social o algo similar?;generalidades;todas
que carrera se relaciona a las campañas publicitarias?;generalidades;todas
tienen una carrera que enseñe tecnicas de publidad?;generalidades;todas
alguna carrera con perfil comercial?;generalidades;todas
que puedo estudiar que se relacione al analisis comercial?;generalidades;todas
que puedo estudiar que se relacione al desarrollo de campañas de mkt y publicidad?;generalidades;todas
que carreras tienen para perfiles comerciales?;generalidades;todas
quiero desarrollar un perfil comercial que puedo estudiar?;generalidades;todas
tienen un numeo para llamar a;charla;todas
quiero estudiar algo relacionado con el campo;plan;todas
tiene  la carrera de agronegocios?;plan;todas
tienen alguna carrera sobre el agro;plan;todas
cuanto cuesta una carrera;generalidades;todas
como me inscribo a la carrera?;generalidades;todas
cuando comienzan las clases?;generalidades;todas
de que trata la carrera agronegocios?;plan;todas
que salida laboral tiene agronegocios;plan;todas
quiero vender soja;plan;todas
quiero exportar soja;plan;todas
quiero ser sojero;plan;todas
que puedo estudiar para trabajar en el campo;trabajo;todas
busco una carrera referida al agro;trabajo;todas
dan carreras a distancia?;plan;todas
cuanto duran las carreras?;generalidades;todas
quiero estudiar algo con rapida salida laboral;trabajo;todas
quiero estudiar algo para ganar plata;trabajo;todas
que requisitos tiene la cerrera;generalidades;todas
me faltan materias del secundario ¿me puedo anotar igual?;generalidades;todas
tienen algun tipo de descuento?;pagos;medios
que horarios de cursado tiene disponible el ies?;generalidades;todas
tienen turno mañana;generalidades;todas
se puede cursar por la tarde?;generalidades;todas
me tengo que preinscribir?;tramites;preinscripcion
que tarjetas de credito reciben?;pagos;medios
puedo presentar certificado de analitico en tramite?;tramites;todas
en que lugares se puede pagar?;pagos;medios
aceptan rapipago o pagofacil?;pagos;medios
tienen debito automatico?;pagos;medios
que significa modalidad semipresencial?;generalidades;todas
cuanto cuesta la preinscripcion?;tramites;preinscripcion
la cuota es mensual o semestral?;pagos;medios
la cuota es mensual o semestral?;trabajo;todas
tienen pasantias pagas?;generalidades;todas
tienen convenio con algun colegio secundario?;generalidades;todas
que fechas tiene disponible el cursillo de ingreso?;generalidades;todas
puedo realizar el cursillo en julio?;tramites;cies
cuales son los requisitos para una beca?;tramites;requisitos
como hago para pagar en cuotas?;generalidades;todas
si no puedo pagar una cuota;generalidades;todas
cuales son los beneficios ies?;generalidades;todas
cuando son las proximas charlas informativas?;generalidades;todas
de que institutos o universidades reciben equivalencias?;tramites;equivalencias
tienen trabajo final las carreras del ies?;generalidades;todas
que lenguajes de programacion enseñan?;plan;todas
entregan titulo intermedio?;generalidades;todas
cual es la mejor carrera?;charla;todas
que carrera tiene mejor salida laboral?;charla;todas
que carrera tiene mas alumnos?;charla;todas
tienen gabinete de informatica?;generalidades;todas
como es la modalidad a distancia?;generalidades;todas
tengo que rendir en el ies si elijo la modalidad a distancia?;generalidades;todas
tienen validez nacional los titulos?;generalidades;todas
se puede rendir materias libres?;generalidades;todas
cuanto dura la regularidad de las materias?;generalidades;todas
tienen practica supervisada las carreras del ies? ;generalidades;todas
cuantas materias hay por semestre? ;plan;todas
cuanto dura la regularidad de la carrera?;generalidades;todas
tengo que hacer el cursillo si soy de pase?;tramites;cies
tienen matricula anual o semestral?;tramites;preinscripcion
las materias del ies son correlativas?;generalidades;todas
cuantos turnos de examen hay?;generalidades;todas
cuando son los mesas de examen?;generalidades;todas
tienen laboratorio de realizacion audiovisual?;generalidades;todas
me podrian mandar los planes de las carreras a mi mail?;plan;todas
las materias tienen varias comisiones?;generalidades;todas
 hay descuentos en los cursos si soy alumno del ies?;tramites;preinscripcion
eres un humano?;charla;todas
necesito hablar con alguien;charla;todas
puede comunicarme con atención al cliente?;charla;todas
podemos conversar?;charla;todas
hay que usar uniforme?;charla;todas
me gustan las carreras que se dan el ies;generalidades;todas
se dictan carreras presenciales?;generalidades;todas
quiénes son los profesores?;generalidades;todas
se puede cursar a distancia?;generalidades;todas
hay articulación con otras instituciones?;generalidades;todas
dónde tengo que presentar los papeles?;tramites;todas
qué me piden para la inscripción?;tramites;inscripcion
para qué me habilita el título de;trabajo;todas
puedo comenzar el cursado en cualquier momento?;tramites;todas
se puede hacer el cursado semipresencial?;plan;todas
cuál es el número de administración;tramites;todas
que puedo hacer en el ies?;charla;todas
el ies es una facultad o colegio?;charla;todas
hola, me pasas la direccion del ies;charla;todas
en que lugar se encuentra el ies;charla;todas
hola, que tal?;charla;todas
hola, me decis como me puedo comunicar con el ies?;charla;todas
me pasa el mail de la facultad?;charla;todas
todas las carreras son de titulos oficiales?;charla;todas
a que hora me puedo comunicar con la institucion?;charla;todas
a que abre el colegio universitario?;charla;todas
las carreras en que horario se pueden cursar;generalidades;todas
solo se cursa turno tarde y noche?;generalidades;todas
cuales son los horarios del turno mañana y tarde?;generalidades;todas
a que hora empiezan las clase en el turno noche?;generalidades;todas
que es bedelia?;charla;todas
a que hora me puedo comunicar con bedelia?;charla;todas
vi la informacion en el facebook de las carreras que dan, me informa un poco mas?;generalidades;todas
que programa de becas tiene el ies?;generalidades;todas
quienes pueden acceder a las becas?;generalidades;todas
que hace el doa?;charla;todas
debe sacar turno para la entrevista con el doa?;generalidades;todas
me pasa informacion de las carreras del ies?;generalidades;todas
que carrera se dictan en el ies?;generalidades;todas
me da informacion de la carrera de turismo?;generalidades;todas
me podes informar sobre ia?;generalidades;todas
que se aprende si estudio diseño grafico?;generalidades;todas
quiero saber de la carrera de robotica;generalidades;todas
me gustaria estudiar rrhh;generalidades;todas
necesito estudiar informatica;generalidades;todas
me gustaria estudiar agronegocios;generalidades;todas
me gustaria estudiar marketing;generalidades;todas
me gustaria estudiar programacion;generalidades;todas
tengo las ganas de aprender analista de sistema;generalidades;todas
tengo las ganas de aprender relaciones publicas;generalidades;todas
tengo las ganas de aprender ciencias de datos;generalidades;todas
tengo las ganas de aprender publicidad;generalidades;todas
tengo las ganas de aprender logistica;generalidades;todas
me interesa la carrera de simulaciones virtuales y de juegos;generalidades;todas
hola, estoy interesado en la carrera de videos juegos;generalidades;todas
quiero informacion de la carrera comercio internacional;generalidades;todas
que carrera puedo cursar en el turno mañana?;generalidades;todas
todas las carreras se dictan en los tres turnos?;charla;todas
en que puedo trabajar cuando me reciba?;trabajo;todas
de que voy a trabajar?;trabajo;todas
cual sera el rol de los trabajadores?;trabajo;todas
que puedo hacer cuando me reciba?;trabajo;todas
tendre la suerte de encontrar trabajo cuando me reciba?;trabajo;todas
me recibo y en que puedo empezar a trabajar?;trabajo;todas
en que me voy a desempeñar cuando egrese?;trabajo;todas
los trabajos son bien pagados?;trabajo;todas
cual es la salida laboral del egresado de ia?;trabajo;todas
cuanto aã?os dura la carrera?;plan;todas
me pasas el programa de la carrera;plan;todas
que materias voy a ver en;plan;todas
como puedo pagar?;pagos;medios
puedo pagar en efectivo?;pagos;medios
me hacen descuento si pago al dia?;pagos;medios
reciben tarjetas para pagar?;pagos;medios
en cuanto cuotas puedo?;pagos;precio
que tipo de becas da el ies;tramites;medios
cuales son los hoarios del cursillo;generalidades;todas
que pasa si no puede cursar el cursillo en ese horario;generalidades;todas
todas las carreras son de 3 años?;plan;todas
tienen licenciaturas?;generalidades;todas
tienen bolsa de trabajo?;trabajo;todas
uds ayudan a conseguir trabajo?;trabajo;todas
tienen programas de pasantias?;trabajo;todas
se puede conseguir trabajo antes de recibirse?;trabajo;todas
que carreras relacionadas a la tecnologia me pueden recomendar?;generalidades;todas
que carreras relacionadas a economia me pueden recomendar?;generalidades;todas
que carreras relacionadas al diseño me pueden recomendar?;generalidades;todas
que carreras tienen mas salida laboral?;trabajo;todas
tengo un familiar que estudia ahí tengo algun beneficio?;generalidades;todas
tienen carreras de idiomas?;generalidades;todas
se puede estudiar ingles en el ies?;generalidades;todas
que necesito para inscribirme;tramites;requisitos
que requisitos necesito para solicitar una beca?;tramites;requisitos
 que condiciones debo cumplir para pedir una beca?;generalidades;todas
necesito el analitico si o si para inscribirme?;tramites;requisitos
todavia no me inscribi estoy a tiempo de inscribirme?;tramites;todas
todavia no me anote pero quiero empezar la carrera de;tramites;todas
estoy a tiempo de coomenzar la carrera de;generalidades;todas
como hago para trabajar en el ies?;trabajo;todas
tienen busquedas laborales en el ies?;trabajo;todas
el ies pertenece a la universidad siglo xxi?;charla;todas
uds tienen alianzas o convenios con empresas para trabajar?;trabajo;todas
solo tienen carreras o tambien cursos cortos?;generalidades;todas
que carreras hay presenciales?;generalidades;todas
que carreras tienen a distancia?;generalidades;todas
tengo promocion pagando todo en efectivo?;pagos;medios
dan charlas de orientacion?;generalidades;todas
dan alguna orientacion de carreras?;generalidades;todas
dan charlas informativas de las carreras?;generalidades;todas
cual es la fecha del proximo cursillo?;generalidades;todas
cuando puedo inscribirme;generalidades;todas
a que numero puedo llamar para;charla;todas
de que se trata la carrera de publicidad?;plan;todas
cual es el plan de estudio de la carrera de publicidad;plan;todas
me pueden pasar el plan deestudio de la carrera de publicidad;plan;todas
cual es la salida laboral de la carrera de publicidad;trabajo;todas
tiene buena salida laboral la carrera de publicidad?;trabajo;todas
la carrera de publicidad tiene alguna continuidad despues de la tecnicatura?;generalidades;todas
que modalidades tiene la carrera de publicidad?;generalidades;todas
cual es el perfildel tecnico de publicidad?;generalidades;todas
que puede hacer un tecnico de publicidad?;generalidades;todas
tienen bolsa de trabajo para la carrera de publicidad?;trabajo;todas
que horarios tienen para la carrera de publicidad?;generalidades;todas
en que horarios se dicta la tecnicatura de publicidad?;generalidades;todas
que requisitos hay que tener para estudiar publicidad?;generalidades;todas
se necesita conocimientos previos para estudiar publicidad?;generalidades;todas
como hago para inscribirme en publicidad?;tramites;requisitos
cuantos años son de la carrera de publicidad?;plan;todas
cuanto dura la carrera de publidad?;plan;todas
cuanto sale la carrera de publicidad?;pagos;precio
que costo tiene la carrera de publicidad?;pagos;precio
tienen alguna carrera relacionada a la publicidad?;generalidades;todas
tienen algo de marketing o publicidad?;generalidades;todas
tienen alguna carrera orientada a negocios?;generalidades;todas
alguna carrera que se oriente a las relaciones comerciales y visual?;generalidades;todas
alguna cerrara orientada a la mercadotecnia?;generalidades;todas
quiero saber si tienen alguna carrera que se oriente a los medios de comunicación?;generalidades;todas
que carrera se puede estudiar que se relacione a la produccion audiovisual?;generalidades;todas
tienen la carrera de comunicación social o algo similar?;generalidades;todas
que carrera se relaciona a las campañas publicitarias?;generalidades;todas
tienen una carrera que enseñe tecnicas de publidad?;generalidades;todas
alguna carrera con perfil comercial?;generalidades;todas
que puedo estudiar que se relacione al analisis comercial?;generalidades;todas
que puedo estudiar que se relacione al desarrollo de campañas de mkt y publicidad?;generalidades;todas
que carreras tienen para perfiles comerciales?;generalidades;todas
quiero desarrollar un perfil comercial que puedo estudiar?;generalidades;todas
tienen un numeo para llamar a;charla;todas
cuanto sale el semestre de ia;pagos;precios
que forma de pagos tiene la carrera de ciencias de datos;pagos;medios
se puede pagar por materia la carrea de ia;pagos;medios
hay que pagar inscripción en la carrera de ia;pagos;precios
los exámenes tienen costo;pagos;precios
cuanto dura la tec de ciencias de datos;plan;todas
me pueden pasar el plan de estudios de ia;plan;todas
cuantas materias tiene la tec. de ciencias de datos;plan;todas
la carrera de ia tiene materias obligatorias y optativas;plan;todas
cuantos semestres tiene la carrera de ia;plan;todas
la tec. de ciencias de datos e ia tiene tesis final;plan;todas
el título de ia que validez tiene ;plan;todas
la tec. de ciencias de datos te permite hacer un posgrado;plan;todas
cual es la salida laboral de la tec. en ciencias de datos;trabajo;todas
hay pasantías para la carrera de ia;trabajo;todas
las pasantias de ia son pagas;trabajo;todas
hay pasantías en el exterior para la tec. de ciencias de datos;trabajo;todas
tienen una bolsa de trabajo para los egeresados de ia;trabajo;todas
tengo que hacer un curso de nivelación para la carrera de ciencias de datos;tramites;cies
para la carrera de ia me toman la equivalencia de las materias de la utn;tramites;equivalencias
soy egresado de la carrera informatica del ies que materias tengo que hacer para ia;tramites;equivalencias
otorgan becas para estudiar ciencias de datos;tramites;cies
cuales son los requisitos para tener una beca en ia;tramites;requisitos
fuí alumno del ies pero no terminéahora quiero estudiar ia tengo que hacer los cursillos;tramites;cies
cuales son los requisitos para inscribirme en ia;tramites;requisitos
hacen viajes académicos;generalidades;todas
que beneficios tiene ser alumno del ies;generalidades;todas
que actividades extracurriculares tienen;generalidades;todas
como se rinde en epoca de pandemia;generalidades;todas
que cursos se dan en el ies;generalidades;todas
que requisitos se debe cumplir para hacer un curso;tramites;requisitos
de que se puede trabajar en ies;generalidades;todas
cuando son las charlas informativas;generalidades;todas
como se asocia a una organización;generalidades;todas
como propongo a una organización;generalidades;todas
como ser refernte del ies;generalidades;todas
quiero información de prácticas laborales en colegios;generalidades;todas
me podrían pasar información de los eventos que tienen programados;generalidades;todas
que tipo de alianzas institucionales tienen;generalidades;todas
en que localidad tienen oficinas;generalidades;todas
quiero estudiar algo relacionado con el campo;plan;todas
tiene  la carrera de agronegocios?;plan;todas
tienen alguna carrera sobre el agro;plan;todas
cuanto cuesta una carrera;generalidades;todas
como me inscribo a la carrera?;generalidades;todas
cuando comienzan las clases?;generalidades;todas
de que trata la carrera agronegocios?;plan;todas
que salida laboral tiene agronegocios;plan;todas
quiero vender soja;plan;todas
quiero exportar soja;plan;todas
quiero ser sojero;plan;todas
que puedo estudiar para trabajar en el campo;trabajo;todas
busco una carrera referida al agro;trabajo;todas
dan carreras a distancia?;plan;todas
cuanto duran las carreras?;generalidades;todas
quiero estudiar algo con rapida salida laboral;trabajo;todas
quiero estudiar algo para ganar plata;trabajo;todas
que requisitos tiene la cerrera;generalidades;todas
me faltan materias del secundario ¿me puedo anotar igual?;tramites;requisitos
tienen algun tipo de descuento?;pagos;medios
